id,tipo,cx_rel,cy_rel,ancho_aprox_m,notas
GT-N2-PU01,puerta,0.244,0.349,,"Baño Clientes Mujeres, puerta entrada, junto a cota 2.4"
GT-N2-VE01,ventana,0.435,0.301,,Vano arqueado superior (entre las dos Bodegas)
GT-N2-PU02,puerta,0.296,0.459,,"Entre Baño Clientes Mujeres y Hombres, cota 0.8 (horizontal)"
GT-N2-PU03,puerta,0.243,0.487,,"Dentro de Baño Clientes Mujeres, junto a cota 0.8"
GT-N2-PU04,puerta,0.343,0.493,,"Entre compartimentos de baños, cota 0.8 (vertical)"
GT-N2-PU05,puerta,0.27,0.524,,"Dentro de Baño Clientes Hombres, junto a inodoro"
GT-N2-VE02,ventana,0.196,0.519,,"Muro izquierdo (Deslinde), altura Baño Clientes Hombres"
GT-N2-PU06,puerta,0.512,0.413,,"Bodega izquierda, junto a pared curva"
GT-N2-PU07,puerta,0.626,0.447,,"Bodega derecha, junto a Pasillo (pared curva)"
GT-N2-VE03,ventana,0.675,0.401,,Bodega derecha (muro superior)
GT-N2-VE04,ventana,0.784,0.447,,Bodega derecha (muro vertical)
GT-N2-ES01,escalera,0.639,0.521,,"Escalera (numeración 11-19), junto a Pasillo"
GT-N2-VE05,ventana,0.8,0.524,,"Muro derecho (Deslinde), altura del Pasillo"
GT-N2-PU08,puerta,0.449,0.592,,Límite Oficina izquierda-Pasillo
GT-N2-PU09,puerta,0.603,0.595,,Límite Oficina derecha-Pasillo
GT-N2-PU10,puerta,0.596,0.647,,"Oficina derecha, junto a cuarto pequeño (E31) y cota 1.4"
GT-N2-VE06,ventana,0.308,0.719,,Muro inferior Oficina izquierda
GT-N2-VE07,ventana,0.68,0.72,,Muro inferior Oficina derecha

NOTA: ground truth CANONICO, confirmado 100% correcto por el usuario (2026-07-23), construido a mano en "archicheck/Fase 2/Desarrollos/Test/marcas_planos_v3.xlsx" (hoja "Nivel 2"). Reemplaza a ground_truth_pdv_nivel2_v2.csv (reconstruccion automatica por deteccion de pixeles rojos) como fuente de verdad.
NOTA COMPARATIVA: la reconstruccion automatica (v2) fallo mas en este nivel -- solo detecto 16 de 18 marcas reales (le faltaron GT-N2-PU01, GT-N2-PU03 y GT-N2-VE04) y descarto por error 4 clusters como "solo achurado" que en realidad correspondian a etiquetas reales superpuestas con el achurado rojo de "Se construye". Confirma que el filtro de pixeles rojos no es 100% confiable cuando la etiqueta se dibuja encima de otro elemento rojo del plano -- usar la tabla manual como fuente de verdad, no la deteccion automatica, mientras no se mejore ese filtro.
NOTA GENERAL: confirmado por el usuario (2026-07-22) que en este nivel NO hay salidas de emergencia (ninguna puerta da directo al exterior - acceso solo por la escalera interna desde Nivel 1). Ninguna fila de tipo "puerta" debe re-clasificarse como salida_emergencia en este plano.
