id,tipo,cx_rel,cy_rel,ancho_aprox_m,notas
GT01,puerta,0.28,0.19,,Baño Personal Mujeres
GT02,puerta,0.43,0.22,0.8,junto a cota 0.8 derecha Baño Mujeres/Hombres
GT03,puerta,0.34,0.24,,Baño Personal Hombres
GT04,puerta,0.65,0.20,0.8,Baño Personal derecha
GT05,puerta,0.17,0.45,,Bodega izquierda - posible salida_emergencia (verificar si da a exterior/Terraza)
GT06,puerta,0.25,0.485,,junto a arco entrada - posible salida_emergencia (verificar si da a exterior)
GT07,puerta,0.35,0.62,,Cocina izquierda
GT08,puerta,0.29,0.685,,Cocina/Pasillo
GT09,puerta,0.47,0.735,1.6,junto a cota 1.6 Cocina/Pasillo
GT10,puerta,0.65,0.735,,Baño Universal
GT11,puerta,0.82,0.755,,derecha junto a escalera/Bodega
GT12,puerta,0.62,0.905,,FALTA EN EL PLANO - agregada según indicación del usuario (nota original "falta Pu")
GT13,puerta,0.64,0.995,0.9,Oficina - junto a cota 0.9
GT14,puerta,0.46,1.03,1.6,Cocina barra sin atención público - junto a cota 1.6
GT15,puerta,0.55,1.06,1.2,junto a cotas 1.2 / 0.8
GT16,puerta,0.51,1.39,1.45,"ACCESO A NIVEL - entrada principal, exterior, salida_emergencia"
GT17,ventana,0.72,0.24,,Cocina derecha
GT18,ventana,0.72,0.27,,Cocina derecha
GT19,ventana,0.72,0.36,,Cocina derecha
GT20,ventana,0.72,0.39,,Cocina derecha
GT21,ventana,0.38,0.44,,junto a arco/escalera izquierda - confirmar si corresponde a Escalera 1 o es otro elemento
GT22,ventana,0.57,0.44,,junto a arco/escalera derecha - confirmar si corresponde a Escalera 1 o es otro elemento
GT23,ventana,0.22,0.75,,junto a nota "linea segmentada no es muro (es viga)" / Pasillo
GT24,ventana,0.27,0.98,,Terraza izquierda
GT25,ventana,0.32,1.05,,Cocina barra
GT26,ventana,0.72,1.06,,Oficina derecha
GT27,rampa,0.36,1.19,1.3,Rampa Acceso Universal - Pendiente 10.54%
GT28,escalera,0.47,0.43,1.5,"Escalera 1 de 2 - junto al arco, cota 1.5 (confirmado por usuario: son 2 escaleras distintas)"
GT29,escalera,0.68,0.755,,"Escalera 2 de 2 - junto a numeración de peldaños 1-10 (confirmado por usuario: son 2 escaleras distintas)"
