"#","Tipo","X (0-1)","Y (0-1)","Nota"
"1","PU","0.285","0.1351","Baño Personal Mujeres, junto al lavamanos"
"2","PU","0.3675","0.168","Puerta Baño Personal Hombres, cota 0.8"
"3","PU","0.4302","0.1577","Puerta entre Baño Personal Mujeres y Hombres, cota 0.8"
"4","PU","0.6526","0.1562","Puerta Baño Personal (derecha), cota 0.8"
"5","VE","0.7047","0.1714","Ventana muro Cocina, panel superior"
"6","VE","0.7047","0.1979","Ventana muro Cocina, segundo panel"
"7","VE","0.7047","0.2536","Ventana muro Cocina, panel inferior"
"8","VE","0.7047","0.2802","Ventana muro Cocina, panel inferior (extremo)"
"9","PU","0.1596","0.2731","Puerta bajo Bodega, sobre el arco de giro"
"10","PU","0.2113","0.3006","Puerta junto a la anterior, bajo Bodega"
"11","VE","0.3883","0.2968","Ventana a la izquierda del vano arqueado central, cota 1.5"
"12","ES","0.4752","0.2688","Vano arqueado central (paso entre Cocina y Bodega derecha)"
"13","VE","0.5542","0.294","Ventana a la derecha del vano arqueado central"
"14","PU","0.3236","0.4085","Puerta dentro de Cocina, sobre el muro"
"15","PU","0.2911","0.4425","Puerta entre Cocina y Pasillo"
"16","PU","0.4703","0.4831","Puerta Cocina-Pasillo, cota 1.6"
"17","VE","0.75","0.314","Ventana muro de Bodega derecha, colindante con Cocina"
"18","PU","0.6622","0.4775","Puerta Baño Universal, cota 0.9"
"19","PU","0.8345","0.482","Puerta de salida del Baño Universal hacia la escalera"
"20","ES","0.674","0.537","Escalera"
"23","PU","0.4699","0.6496","Puerta Cocina (Barra), cota 1.6"
"24","PU","0.5819","0.6497","Puerta junto a Oficina/escalera, cota 0.9"
"25","PU","0.5433","0.7123","Puerta límite Cocina-Oficina, cota 0.8 (+0.45)"
"26","VE","0.3868","0.731","Ventana muro inferior de Cocina (Barra)"
"27","VE","0.7178","0.731","Ventana muro inferior de Oficina"
"28","RA","0.4348","0.769","Rampa de Acceso Universal"
"29","PU","0.7047","0.2259","Puerta a la derecha de la Cocina, muro Cocina/Baño Universal"
"30","PU","0.5185","0.898","Puerta de Acceso a Nivel, junto a cota 1.45"
"31","VE","0.2405","0.5439","Ventana muro Terraza izquierdo"
"32","VE","0.2405","0.665","Ventana muro Terraza izquierdo, segundo tramo"
"33","PU","0.1417","0.2989","Puerta en el muro a la izquierda de las puertas 9 y 10"
