"#","Tipo","X (0-1)","Y (0-1)","Nota"
"1","PU","0.244","0.349","Puerta de entrada, Baño Clientes Mujeres, cota 2.4"
"2","VE","0.435","0.3137","Ventana del vano arqueado superior"
"4","PU","0.243","0.487","Puerta dentro de Baño Clientes Mujeres, cota 0.8"
"5","PU","0.3119","0.4973","Puerta entre compartimentos de baños, cota 0.8"
"6","PU","0.27","0.524","Puerta dentro de Baño Clientes Hombres"
"7","VE","0.2103","0.5258","Ventana muro izquierdo (deslinde), altura Baño Hombres"
"8","PU","0.512","0.413","Puerta Bodega izquierda, pared curva"
"9","PU","0.626","0.447","Puerta Bodega derecha, junto a Pasillo"
"10","VE","0.675","0.401","Ventana Bodega derecha, muro superior"
"11","VE","0.784","0.447","Ventana Bodega derecha, muro vertical"
"12","ES","0.639","0.521","Escalera, junto a Pasillo"
"13","VE","0.7779","0.5259","Ventana muro derecho (deslinde), altura Pasillo"
"14","PU","0.4603","0.592","Puerta límite Oficina izquierda-Pasillo"
"15","PU","0.603","0.595","Puerta límite Oficina derecha-Pasillo"
"16","PU","0.596","0.647","Puerta Oficina derecha, junto a cuarto pequeño (E31)"
"17","VE","0.308","0.7313","Ventana muro inferior Oficina izquierda"
"18","VE","0.68","0.7313","Ventana muro inferior Oficina derecha"
"19","VE","0.6659","0.3171","Ventana centrada en el vano ""0.85"" (izquierda)"
"20","VE","0.7548","0.3171","Ventana centrada en el vano ""0.85"" (derecha)"
"21","PU","0.3247","0.4612","Puerta un poco arriba de la puerta 5"
