"#","Tipo","X (0-1)","Y (0-1)","Nota"
"M1","MU","0.6745","0.069","Muro superior, sobre Baño Personal"
"M2","MU","0.8025","0.0695","Muro superior, sobre Cocina"
"M3","MU","0.2194","0.0714","Muro superior, sobre Baño Personal Mujeres/Bodega"
"M4","MU","0.943","0.2004","Muro derecho, junto a Cocina"
"M5","MU","0.3298","0.332","Muro entre Terraza y Cocina"
"M6","MU","0.6156","0.398","Muro entre Cocina y Baño Universal"
"M7","MU","0.8771","0.4135","Muro de Bodega derecha / deslinde"
"M8","MU","0.241","0.3166","Muro junto a la puerta 10, entre Bodega y Terraza"
"M9","MU","0.5757","0.4779","Muro entre Pasillo y Baño Universal"
"M10","MU","0.7996","0.5415","Muro derecho, junto a la escalera"
"M11","MU","0.2433","0.7122","Muro de Terraza izquierdo, tramo inferior"
"M12","MU","0.6906","0.5737","Muro junto a la escalera"
"M13","MU","0.3682","0.5746","Muro entre Oficina y Pasillo"
"M14","MU","0.2377","0.5927","Muro entre Terraza y Cocina (Barra)"
"M15","MU","0.5864","0.6247","Muro interior de Oficina"
"M16","MU","0.3304","0.4661","Muro junto a la puerta 15 (tramo 1)"
"M17","MU","0.2451","0.4666","Muro junto a la puerta 15 (tramo 2)"
"M18","MU","0.5792","0.7129","Muro en L a la izquierda de la ventana 27, tramo vertical junto a Cocina (Barra)"
"M19","MU","0.6978","0.4195","Muro horizontal en Baño Universal, cota 2.9"
"M20","MU","0.8001","0.4407","Muro vertical en Baño Universal, cota 1.55"
"M21","MU","0.6208","0.454","Muro vertical en Baño Universal, extremo izquierdo junto al lavamanos"
