"#","Tipo","X (0-1)","Y (0-1)","Nota"
"M1","MU","0.6211","0.317","Muro arco superior (izquierdo)"
"M2","MU","0.708","0.317","Muro arco superior (derecho)"
"M5","MU","0.3155","0.3123","Muro superior de Baño Clientes Mujeres"
"M6","MU","0.6021","0.3611","Muro interior de Bodega derecha"
"M7","MU","0.3036","0.4037","Muro de Baño Clientes Hombres"
"M8","MU","0.8541","0.4164","Muro de Bodega derecha / deslinde"
"M9","MU","0.6863","0.4735","Muro entre Bodega derecha y Pasillo"
"M10","MU","0.2141","0.4743","Muro de Baño Clientes Hombres (izquierdo)"
"M11","MU","0.4016","0.4809","Muro de Pasillo"
"M12","MU","0.6955","0.5734","Muro junto a la escalera"
"M13","MU","0.5331","0.5754","Muro entre Pasillo y Oficina"
"M14","MU","0.7816","0.5899","Muro derecho, junto a Pasillo"
"M15","MU","0.215","0.63","Muro de Oficina izquierda"
"M16","MU","0.5023","0.6406","Muro junto al cuarto pequeño (E31)"
"M17","MU","0.5048","0.6911","Muro junto a la cota 1.4"
"M18","MU","0.4461","0.7307","Muro inferior de Oficina"
"M19","MU","0.2384","0.3123","Muro junto a la entrada de Baño Clientes Mujeres"
"M20","MU","0.2398","0.5098","Muro en L a la derecha de M10, en Baño Clientes Hombres"
"M21","MU","0.3078","0.3421","Muro corto debajo de M5, tramo vertical junto a Baño Clientes Mujeres"
"M22","MU","0.5023","0.5966","Muro vertical entre M13 y M16"
"M24","MU","0.3618","0.5098","Muro de Baño Clientes Hombres (2 de 4)"
"M25","MU","0.4179","0.5261","Muro de Baño Clientes Hombres (3 de 4, borde derecho)"
"M26","MU","0.345","0.5696","Muro inferior de Baño Clientes Hombres (4 de 4)"
"M27","MU","0.4105","0.4296","Muro debajo de Bodega izquierda (tramo largo)"
"M28","MU","0.5698","0.43","Muro debajo de Bodega izquierda (tramo corto, junto a cota 0.8)"
"M29","MU","0.2607","0.5696","Muro inferior de Baño Clientes Hombres, extremo izquierdo (mismo muro que M26)"
"M30","MU","0.4185","0.5726","Muro inferior de Baño Clientes Hombres, extremo derecho (mismo muro que M26)"
