"#","Marca","X (0-1)","Y (0-1)","Ubicación / referencia"
"1","PU","0.244","0.349","Baño Clientes Mujeres, puerta entrada, junto a cota 2.4"
"2","VE","0.435","0.301","Vano arqueado superior (entre las dos Bodegas)"
"3","PU","0.296","0.459","Entre Baño Clientes Mujeres y Hombres, cota 0.8 (horizontal)"
"4","PU","0.243","0.487","Dentro de Baño Clientes Mujeres, junto a cota 0.8"
"5","PU","0.343","0.493","Entre compartimentos de baños, cota 0.8 (vertical)"
"6","PU","0.27","0.524","Dentro de Baño Clientes Hombres, junto a inodoro"
"7","VE","0.196","0.519","Muro izquierdo (Deslinde), altura Baño Clientes Hombres"
"8","PU","0.512","0.413","Bodega izquierda, junto a pared curva"
"9","PU","0.626","0.447","Bodega derecha, junto a Pasillo (pared curva)"
"10","VE","0.675","0.401","Bodega derecha (muro superior)"
"11","VE","0.784","0.447","Bodega derecha (muro vertical)"
"12","ES","0.639","0.521","Escalera (numeración 11-19), junto a Pasillo"
"13","VE","0.8","0.524","Muro derecho (Deslinde), altura del Pasillo"
"14","PU","0.449","0.592","Límite Oficina izquierda-Pasillo"
"15","PU","0.603","0.595","Límite Oficina derecha-Pasillo"
"16","PU","0.596","0.647","Oficina derecha, junto a cuarto pequeño (E31) y cota 1.4"
"17","VE","0.308","0.719","Muro inferior Oficina izquierda"
"18","VE","0.68","0.72","Muro inferior Oficina derecha"
