"#","Tipo","X (0-1)","Y (0-1)","Nota"
"1","PU","0.244","0.349","Baño Clientes Mujeres, puerta entrada, cota 2.4 (sin cambios)"
"2","VE","0.435","0.3137","Vano arqueado superior - reubicada sobre la linea de la ventana (triple linea), antes y=0.301"
"4","PU","0.243","0.487","Dentro de Baño Clientes Mujeres, cota 0.8 (sin cambios)"
"5","PU","0.3119","0.4973","Entre compartimentos de baños, cota 0.8 (vert) - reubicada segun correccion del usuario, antes (0.2992,0.4930)"
"6","PU","0.27","0.524","Dentro de Baño Clientes Hombres (sin cambios)"
"7","VE","0.2103","0.5258","Muro izquierdo (Deslinde), altura Baño Hombres"
"8","PU","0.512","0.413","Bodega izquierda, pared curva (sin cambios)"
"9","PU","0.626","0.447","Bodega derecha, junto a Pasillo (sin cambios)"
"10","VE","0.675","0.401","Bodega derecha (muro superior)"
"11","VE","0.784","0.447","Bodega derecha (muro vertical)"
"12","ES","0.639","0.521","Escalera, junto a Pasillo"
"13","VE","0.7779","0.5259","Muro derecho (Deslinde), altura Pasillo"
"14","PU","0.4603","0.592","Límite Oficina izquierda-Pasillo - movida a la izquierda segun correccion del usuario, hacia la esquina del muro; antes x=0.4787"
"15","PU","0.603","0.595","Límite Oficina derecha-Pasillo (sin cambios)"
"16","PU","0.596","0.647","Oficina derecha, junto a cuarto pequeño (E31) (sin cambios)"
"17","VE","0.308","0.7313","Muro inferior Oficina izquierda"
"18","VE","0.68","0.7313","Muro inferior Oficina derecha"
"19","VE","0.6659","0.3171","Ventana centrada en el vano ""0.85"" entre M1 y M2 - reubicada segun correccion del usuario (antes se superponia con M4, ahora eliminado por duplicado)"
"20","VE","0.7548","0.3171","Ventana centrada en el vano ""0.85"" entre M2 y el 3er tramo - reubicada segun correccion del usuario (la VE20 original sobre el 3er tramo fue eliminada)"
"21","PU","0.3247","0.4612","NUEVA: puerta agregada segun correccion del usuario, un poco arriba de PU5, donde el texto ""PU"" original no tenia marca propia"
